対局日,期,棋戦,備考,ブロック,回戦,局,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2024-04-26,,王座戦,挑決トーナメント,,,,●,渡辺明,佐々木大地,○,,
2024-04-26,,王座戦,挑決トーナメント,,,,○,広瀬章人,久保利明,●,,
2024-04-26,,棋王戦,予選,,,,○,小山怜央,青嶋未来,●,,
2024-04-26,,棋王戦,予選,,,,○,都成竜馬,長沼洋,●,,
2024-04-26,,棋王戦,予選,,,,●,冨田誠也,古賀悠聖,○,,
2024-04-30,37,竜王戦,5組 昇決,,,,○,小林裕士,星野良生,●,,
2024-04-30,,棋王戦,予選,,,,●,郷田真隆,高野智史,○,,
2024-04-30,,棋王戦,予選,,,,○,谷合廣紀,八代弥,●,,
2024-04-30,,棋王戦,予選,,,,●,柵木幹太,村山慈明,○,,
2024-04-30,74,王将戦,一次予選,,,,○,千田翔太,阿部健治郎,●,,
2024-04-30,74,王将戦,一次予選,,,,●,佐藤康光,瀬川晶司,○,,
2024-04-30,74,王将戦,一次予選,,,,○,都成竜馬,大橋貴洸,●,,
2024-05-01,37,竜王戦,1組,,,,○,山崎隆之,久保利明,●,,
2024-05-01,37,竜王戦,5組,,,,○,西尾明,斎藤明日斗,●,,
2024-05-01,,棋王戦,予選,,,,○,狩山幹生,宮嶋健太,●,,
2024-05-01,74,王将戦,一次予選,,,,●,丸山忠久,井出隼平,○,,
2024-05-01,74,王将戦,一次予選,,,,○,西田拓也,古賀悠聖,●,,
2024-05-02,9,叡王戦,五番勝負,,,3,●,藤井聡太,伊藤匠,○,,
2024-05-02,,王位戦,挑決リーグ,,,,●,飯島栄治,森内俊之,○,,
2024-05-02,,王位戦,挑決リーグ,,,,●,西川和宏,木村一基,○,,
2024-05-02,,王位戦,挑決リーグ,,,,○,佐藤天彦,豊島将之,●,,
2024-05-02,,王座戦,挑決トーナメント,,,,○,鈴木大介,藤本渚,●,,
2024-05-02,,王座戦,挑決トーナメント,,,,○,菅井竜也,戸辺誠,●,,
2024-05-02,,棋王戦,予選,,,,○,豊川孝弘,井田明宏,●,,
2024-05-02,74,王将戦,一次予選,,,,●,高見泰地,渡辺和史,○,,
2024-05-02,74,王将戦,一次予選,,,,●,石井健太郎,岡部怜央,○,,
2024-05-02,74,王将戦,一次予選,,,,●,徳田拳士,高田明浩,○,,
2024-05-06,74,NHK杯,本戦,,1,9,●,伊藤匠,梶浦宏孝,○,,2024-06-02
2024-05-06,74,NHK杯,本戦,,1,10,○,郷田真隆,佐々木大地,●,,2024-06-09
2024-05-07,37,竜王戦,4組 昇決,,,,○,北島忠雄,石川優太,●,,
2024-05-07,37,竜王戦,5組 昇決,,,,□,阿部隆,真田圭一,■,,
2024-05-07,37,竜王戦,6組,,,,○,藤本渚,古森悠太,●,千日手,
2024-05-07,74,王将戦,一次予選,,,,○,宮田敦史,森内俊之,●,,
2024-05-07,,棋聖戦,一次予選,,,,●,宮本広志,小林裕士,○,,
2024-05-07,,棋聖戦,一次予選,,,,●,小林裕士,出口若武,○,,
2024-05-08,37,竜王戦,3組,,,,○,池永天志,本田奎,●,,
2024-05-08,37,竜王戦,4組 昇決,,,,●,折田翔吾,佐藤紳哉,○,,
2024-05-08,37,竜王戦,4組 昇決,,,,●,石田直裕,服部慎一郎,○,,
2024-05-08,,王座戦,挑決トーナメント,,,,○,糸谷哲郎,千田翔太,●,,
2024-05-08,,棋王戦,予選,,,,●,佐々木大地,斎藤明日斗,○,,
2024-05-08,,棋王戦,予選,,,,○,黒田尭之,古賀悠聖,●,千日手,
2024-05-08,82,名人戦,七番勝負,,,3,○,藤井聡太,豊島将之,●,,
2024-05-09,37,竜王戦,1組 出決,,,,○,斎藤慎太郎,丸山忠久,●,,
2024-05-09,37,竜王戦,2組 昇決,,,,○,佐藤天彦,佐藤和俊,●,,
2024-05-09,37,竜王戦,2組 昇決,,,,○,三浦弘行,近藤誠也,●,,
2024-05-09,37,竜王戦,4組,,,,○,村中秀史,高崎一生,●,,
2024-05-09,37,竜王戦,5組,,,,●,井田明宏,渡辺和史,○,,
2024-05-09,37,竜王戦,5組 昇決,,,,○,村田智弘,中村太地,●,,
2024-05-09,37,竜王戦,5組 昇決,,,,○,門倉啓太,畠山鎮,●,,
2024-05-09,37,竜王戦,6組,,,,○,山下数毅,井出隼平,●,,
2024-05-09,,棋王戦,予選,,,,●,深浦康市,及川拓馬,○,,
2024-05-09,,棋王戦,予選,,,,○,黒沢怜生,戸辺誠,●,,
2024-05-09,,棋聖戦,一次予選,,,,●,畠山成幸,神崎健二,○,,
2024-05-09,,棋聖戦,一次予選,,,,●,矢倉規広,今泉健司,○,,
2024-05-09,,棋聖戦,一次予選,,,,●,神崎健二,今泉健司,○,,
2024-05-10,37,竜王戦,2組,,,,●,高見泰地,郷田真隆,○,,
2024-05-10,37,竜王戦,4組,,,,○,高野智史,船江恒平,●,,
2024-05-10,37,竜王戦,5組 残決,,,,●,伊奈祐介,阪口悟,○,,
2024-05-10,,王位戦,挑決リーグ,,,,●,森内俊之,渡辺明,○,,
2024-05-10,,王位戦,挑決リーグ,,,,○,佐々木大地,石井健太郎,●,,
2024-05-10,,棋王戦,予選,,,,●,島朗,小山直希,○,,
2024-05-10,74,王将戦,一次予選,,,,●,千葉幸生,横山泰明,○,,
2024-05-10,74,王将戦,一次予選,,,,○,杉本和陽,行方尚史,●,,
2024-05-10,74,王将戦,一次予選,,,,○,屋敷伸之,野月浩貴,●,,
2024-05-10,74,王将戦,一次予選,,,,○,山崎隆之,齊藤裕也,●,,
2024-05-10,,棋聖戦,一次予選,,,,●,高田明浩,牧野光則,○,,
2024-05-10,,棋聖戦,一次予選,,,,●,牧野光則,黒田尭之,○,,
2024-05-13,,棋王戦,予選,,,,○,梶浦宏孝,飯塚祐紀,●,,
2024-05-13,,棋王戦,予選,,,,○,高見泰地,谷合廣紀,●,,
2024-05-14,,王位戦,挑決リーグ,,,,●,羽生善治,飯島栄治,○,,
2024-05-14,,王位戦,挑決リーグ,,,,●,木村一基,渡辺明,○,,
2024-05-14,,王位戦,挑決リーグ,,,,○,佐藤天彦,佐々木大地,●,,
2024-05-14,,王位戦,挑決リーグ,,,,○,石井健太郎,豊島将之,●,,
2024-05-14,,王位戦,挑決リーグ,,,,○,森内俊之,西川和宏,●,,
2024-05-14,,王位戦,挑決リーグ,,,,●,藤本渚,斎藤慎太郎,○,,
2024-05-14,74,王将戦,一次予選,,,,●,片上大輔,千田翔太,○,,
2024-05-14,,棋聖戦,一次予選,,,,○,佐藤慎一,北島忠雄,●,,
2024-05-14,,棋聖戦,一次予選,,,,○,西尾明,佐藤慎一,●,,
2024-05-15,37,竜王戦,4組 昇決,,,,○,村田顕弘,阿部光瑠,●,,
2024-05-15,,王座戦,挑決トーナメント,,,,●,郷田真隆,永瀬拓矢,○,,
2024-05-15,,棋聖戦,一次予選,,,,●,浦野真彦,齊藤裕也,○,,
2024-05-15,,棋聖戦,一次予選,,,,●,福間香奈,村田智弘,○,,
2024-05-15,,棋聖戦,一次予選,,,,●,村田智弘,齊藤裕也,○,,
2024-05-15,32,銀河戦,本戦トーナメント,D,9,,○,屋敷伸之,佐々木慎,●,,2024-08-22
2024-05-15,32,銀河戦,本戦トーナメント,H,9,,○,三浦弘行,戸辺誠,●,,2024-09-05
2024-05-15,32,銀河戦,本戦トーナメント,H,10,,○,近藤誠也,三浦弘行,●,,2024-10-03
2024-05-16,,棋王戦,予選,,,,○,池永天志,小山怜央,●,,
2024-05-16,74,王将戦,一次予選,,,,●,瀬川晶司,三枚堂達也,○,,
2024-05-16,,棋聖戦,一次予選,,,,○,渡辺大夢,遠山雄亮,●,,
2024-05-16,,棋聖戦,一次予選,,,,○,門倉啓太,渡辺大夢,●,,
2024-05-16,,棋聖戦,一次予選,,,,●,神谷広志,金井恒太,○,,
2024-05-16,,棋聖戦,一次予選,,,,●,所司和晴,小倉久史,○,,
2024-05-16,,棋聖戦,一次予選,,,,●,小倉久史,金井恒太,○,,
2024-05-16,,棋聖戦,一次予選,,,,○,窪田義行,富岡英作,●,,
2024-05-16,,棋聖戦,一次予選,,,,○,山本博志,大平武洋,●,,
2024-05-16,,棋聖戦,一次予選,,,,○,山本博志,窪田義行,●,,
2024-05-16,,棋聖戦,一次予選,,,,●,増田裕司,長岡裕也,○,,
2024-05-16,,棋聖戦,一次予選,,,,●,畠山鎮,長岡裕也,○,,
2024-05-16,,新人戦,,,,,○,高田明浩,柵木幹太,●,,
2024-05-17,37,竜王戦,4組 残決,,,,●,川上猛,青嶋未来,○,,
2024-05-17,37,竜王戦,5組 昇決,,,,●,先崎学,出口若武,○,,
2024-05-17,37,竜王戦,5組 昇決,,,,○,田村康介,井上慶太,●,,
2024-05-17,37,竜王戦,5組 残決,,,,●,日浦市郎,渡辺正和,○,,
2024-05-17,,棋王戦,予選,,,,○,村中秀史,森内俊之,●,,
2024-05-17,74,王将戦,一次予選,,,,○,本田奎,伊藤真吾,●,,
2024-05-17,74,王将戦,一次予選,,,,●,渡辺和史,伊藤匠,○,,
2024-05-17,74,王将戦,一次予選,,,,○,都成竜馬,船江恒平,●,,
2024-05-17,74,王将戦,一次予選,,,,○,森本才跳,古森悠太,●,,
2024-05-17,,棋聖戦,一次予選,,,,○,藤森哲也,飯塚祐紀,●,,
2024-05-17,,棋聖戦,一次予選,,,,○,佐藤和俊,藤森哲也,●,,
2024-05-17,,棋聖戦,一次予選,,,,●,長谷部浩平,千葉幸生,○,,
2024-05-17,,棋聖戦,一次予選,,,,○,八代弥,小山直希,●,,
2024-05-17,,棋聖戦,一次予選,,,,○,八代弥,斎藤明日斗,●,,
2024-05-17,,新人戦,,,,,○,狩山幹生,古賀悠聖,●,,
2024-05-18,,青流戦,,,,,○,上野裕寿,宮嶋健太,●,,
2024-05-18,,青流戦,,,,,●,柵木幹太,生垣寛人,○,,
2024-05-18,82,名人戦,七番勝負,,,4,○,豊島将之,藤井聡太,●,,
2024-05-20,74,NHK杯,本戦,,1,11,●,門倉啓太,大橋貴洸,○,,2024-06-16
2024-05-20,74,NHK杯,本戦,,1,12,○,西山朋佳,木村一基,●,,2024-06-23
2024-05-21,37,竜王戦,1組 出決,,,,●,伊藤匠,久保利明,○,,
2024-05-21,37,竜王戦,6組,,,,●,山下数毅,藤本渚,○,,
2024-05-21,74,王将戦,一次予選,,,,○,飯島栄治,郷田真隆,●,,
2024-05-21,74,王将戦,一次予選,,,,●,谷合廣紀,岡部怜央,○,,
2024-05-21,,棋聖戦,一次予選,,,,○,本田奎,中座真,●,,
2024-05-21,,棋聖戦,一次予選,,,,●,高野秀行,高橋佑二郎,○,,
2024-05-21,,棋聖戦,一次予選,,,,●,本田奎,高橋佑二郎,○,,
2024-05-22,37,竜王戦,1組,,,,○,山崎隆之,佐藤康光,●,,
2024-05-22,,王座戦,挑決トーナメント,,,,○,豊島将之,伊藤真吾,●,,
2024-05-22,,棋王戦,予選,,,,●,豊川孝弘,都成竜馬,○,,
2024-05-23,,棋聖戦,一次予選,,,,●,堀口一史座,松本佳介,○,,
2024-05-23,,棋聖戦,一次予選,,,,●,田中悠一,勝又清和,○,,
2024-05-23,,棋聖戦,一次予選,,,,○,勝又清和,松本佳介,●,,
2024-05-23,,棋聖戦,一次予選,,,,○,有森浩三,山本真也,●,,
2024-05-23,,棋聖戦,一次予選,,,,○,村田顕弘,長沼洋,●,,
2024-05-23,,棋聖戦,一次予選,,,,○,村田顕弘,有森浩三,●,,
2024-05-23,,棋聖戦,一次予選,,,,●,脇謙二,森本才跳,○,千日手,
2024-05-23,,棋聖戦,一次予選,,,,●,冨田誠也,西川和宏,○,,
2024-05-23,,棋聖戦,一次予選,,,,○,西川和宏,森本才跳,●,,
2024-05-23,,棋聖戦,一次予選,,,,○,阪口悟,横山友紀,●,,
2024-05-24,37,竜王戦,1組 出決,,,,○,広瀬章人,森内俊之,●,,
2024-05-24,37,竜王戦,2組,,,,○,佐々木勇気,郷田真隆,●,,
2024-05-24,,棋王戦,予選,,,,●,佐々木慎,飯島栄治,○,,
2024-05-24,,棋王戦,予選,,,,●,藤本渚,齊藤裕也,○,,
2024-05-24,74,王将戦,一次予選,,,,○,梶浦宏孝,宮田敦史,●,,
2024-05-24,,棋聖戦,一次予選,,,,○,高橋道雄,泉正樹,●,,
2024-05-24,,棋聖戦,一次予選,,,,●,石田直裕,西山朋佳,○,,
2024-05-24,,棋聖戦,一次予選,,,,○,西山朋佳,高橋道雄,●,,
2024-05-24,,棋聖戦,一次予選,,,,●,真田圭一,阿部光瑠,○,,
2024-05-24,,棋聖戦,一次予選,,,,●,佐藤秀司,山川泰熙,○,,
2024-05-24,,棋聖戦,一次予選,,,,●,山川泰熙,阿部光瑠,○,,
2024-05-26,82,名人戦,七番勝負,,,5,○,藤井聡太,豊島将之,●,,
2024-05-28,37,竜王戦,2組 昇決,,,,○,深浦康市,増田康宏,●,,
2024-05-28,37,竜王戦,4組,,,,○,高野智史,村中秀史,●,,
2024-05-28,37,竜王戦,5組,,,,○,渡辺和史,西尾明,●,,
2024-05-28,37,竜王戦,5組 昇決,,,,●,小林裕士,竹内雄悟,○,,
2024-05-28,37,竜王戦,5組 残決,,,,○,窪田義行,佐藤慎一,●,,
2024-05-28,,棋王戦,予選,,,,○,梶浦宏孝,及川拓馬,●,,
2024-05-28,74,王将戦,一次予選,,,,●,都成竜馬,高田明浩,○,,
2024-05-28,,青流戦,,,,,●,田中大貴,齊藤優希三段,○,,
2024-05-28,,青流戦,,,,,●,齊藤優希三段,岡部怜央,○,,
2024-05-29,37,竜王戦,2組 昇決,,,,●,藤井猛,三浦弘行,○,,
2024-05-29,37,竜王戦,3組 昇決,,,,●,行方尚史,大石直嗣,○,,
2024-05-29,,棋王戦,予選,,,,●,小山直希,高見泰地,○,,
2024-05-29,,棋王戦,予選,,,,●,村山慈明,黒田尭之,○,,
2024-05-29,,棋聖戦,一次予選,,,,○,木下浩一,上村亘,●,,
2024-05-29,,棋聖戦,一次予選,,,,○,先崎学,木下浩一,●,,
2024-05-29,,棋聖戦,一次予選,,,,●,田村康介,岡崎洋,○,,
2024-05-29,,棋聖戦,一次予選,,,,●,岡崎洋,片上大輔,○,,
2024-05-29,,棋聖戦,一次予選,,,,●,福崎文吾,宮嶋健太,○,,
2024-05-29,,青流戦,,,,,○,山川泰熙,村上邦和,●,,
2024-05-29,,青流戦,,,,,○,鳥巣友希,増田晃之郎,●,,
2024-05-30,37,竜王戦,2組 昇決,,,,○,阿久津主税,阿部健治郎,●,,
2024-05-30,37,竜王戦,4組 昇決,,,,●,高橋道雄,谷川浩司,○,,
2024-05-30,,王位戦,挑決,,,,○,渡辺明,斎藤慎太郎,●,,
2024-05-30,,王座戦,挑決トーナメント,,,,○,鈴木大介,佐々木大地,●,,
2024-05-30,,王座戦,挑決トーナメント,,,,●,菅井竜也,永瀬拓矢,○,,
2024-05-30,,棋王戦,挑決トーナメント,,,,○,横山泰明,千田翔太,●,,
2024-05-30,,棋王戦,予選,,,,○,池永天志,黒沢怜生,●,,
2024-05-30,,棋王戦,予選,,,,○,斎藤明日斗,飯島栄治,●,,
2024-05-30,,棋聖戦,一次予選,,,,●,藤原直哉,井田明宏,○,,
2024-05-30,,青流戦,,,,,●,木村友亮,岩村凛太朗,○,,
2024-05-31,9,叡王戦,五番勝負,,,4,●,伊藤匠,藤井聡太,○,,
2024-05-31,37,竜王戦,5組 昇決,,,,○,千葉幸生,藤森哲也,●,,
2024-05-31,,棋王戦,予選,,,,○,杉本和陽,村中秀史,●,,
2024-05-31,,棋王戦,予選,,,,○,都成竜馬,森本才跳,●,,
2024-05-31,,棋王戦,予選,,,,○,狩山幹生,齊藤裕也,●,,
2024-05-31,,棋聖戦,一次予選,,,,●,平藤眞吾,柵木幹太,○,,
2024-05-31,,棋聖戦,一次予選,,,,○,古森悠太,柵木幹太,●,,
2024-05-31,32,銀河戦,本戦トーナメント,F,9,,●,大橋貴洸,郷田真隆,○,,2024-08-29
2024-05-31,32,銀河戦,本戦トーナメント,F,10,,●,佐藤康光,郷田真隆,○,,2024-09-26
2024-06-01,,新人戦,,,,,○,原司,山根ことみ,●,,
2024-06-01,,青流戦,,,,,●,渋江朔矢,稲葉聡,○,,
2024-06-01,,青流戦,,,,,○,稲葉聡,横山友紀,●,,
2024-06-03,37,竜王戦,6組 昇決,,,,○,浦野真彦,小倉久史,●,,
2024-06-03,74,王将戦,一次予選,,,,●,森本才跳,服部慎一郎,○,,
