棋士番号,棋士名,段位,生年月日,四段昇段日,昇段時の年齢,昇段までの日数
225,増田裕司,七段,1971-02-07,1997-10-01,26歳7ヶ月24日,9733
226,髙野秀行,七段,1972-06-15,1998-04-01,25歳9ヶ月17日,9421
227,山崎隆之,九段,1981-02-14,1998-04-01,17歳1ヶ月18日,6255
228,伊奈祐介,七段,1975-12-18,1998-04-01,22歳3ヶ月14日,8140
229,山本真也,六段,1971-10-24,1998-10-01,26歳11ヶ月7日,9839
230,中尾敏之,六段,1974-10-24,1998-10-01,23歳11ヶ月7日,8743
231,松尾歩,八段,1980-03-29,1999-04-01,19歳0ヶ月3日,6942
232,金沢孝史,六段,1973-05-13,1999-04-01,25歳10ヶ月19日,9454
233,阿久津主税,八段,1982-06-24,1999-10-01,17歳3ヶ月7日,6308
234,安用寺孝功,七段,1974-08-30,1999-10-01,25歳1ヶ月1日,9163
235,渡辺明,九段,1984-04-23,2000-04-01,15歳11ヶ月9日,5822
236,飯島栄治,八段,1979-09-16,2000-04-01,20歳6ヶ月16日,7503
237,千葉幸生,七段,1979-02-11,2000-10-01,21歳7ヶ月20日,7903
238,上野裕和,六段,1977-05-13,2000-10-01,23歳4ヶ月18日,8542
239,橋本崇載,八段,1983-03-03,2001-04-01,18歳0ヶ月29日,6604
240,佐々木慎,七段,1980-01-21,2001-04-01,21歳2ヶ月11日,7741
241,宮田敦史,七段,1981-06-05,2001-10-01,20歳3ヶ月26日,7423
242,村田智弘,七段,1981-04-02,2001-10-01,20歳5ヶ月29日,7487
243,大平武洋,六段,1977-05-11,2002-04-01,24歳10ヶ月21日,9091
244,熊坂学,六段,1977-05-17,2002-04-01,24歳10ヶ月15日,9085
245,藤倉勇樹,六段,1979-10-23,2002-10-01,22歳11ヶ月8日,8379
246,横山泰明,七段,1980-10-16,2002-10-01,21歳11ヶ月15日,8020
247,島本亮,六段,1980-05-05,2003-04-01,22歳10ヶ月27日,8366
248,西尾明,七段,1979-09-30,2003-04-01,23歳6ヶ月2日,8584
249,村山慈明,八段,1984-05-09,2003-10-01,19歳4ヶ月22日,7084
250,佐藤和俊,七段,1978-06-12,2003-10-01,25歳3ヶ月19日,9242
251,片上大輔,七段,1981-08-28,2004-04-01,22歳7ヶ月4日,8252
252,中村亮介,六段,1985-09-26,2004-04-01,18歳6ヶ月6日,6762
253,村中秀史,七段,1981-03-12,2004-10-01,23歳6ヶ月19日,8604
254,阪口悟,六段,1978-08-16,2004-10-01,26歳1ヶ月15日,9543
255,広瀬章人,九段,1987-01-18,2005-04-01,18歳2ヶ月14日,6648
256,長岡裕也,六段,1985-08-18,2005-04-01,19歳7ヶ月14日,7166
257,髙﨑一生,七段,1987-02-12,2005-10-01,18歳7ヶ月19日,6806
258,遠山雄亮,六段,1979-12-10,2005-10-01,25歳9ヶ月21日,9427
259,瀬川晶司,六段,1970-03-23,2005-11-06,35歳7ヶ月14日,13012
260,糸谷哲郎,八段,1988-10-05,2006-04-01,17歳5ヶ月27日,6387
261,中村太地,八段,1988-06-01,2006-04-01,17歳10ヶ月0日,6513
262,戸辺誠,七段,1986-08-05,2006-10-01,20歳1ヶ月26日,7362
263,佐藤天彦,九段,1988-01-16,2006-10-01,18歳8ヶ月15日,6833
264,豊島将之,九段,1990-04-30,2007-04-01,16歳11ヶ月2日,6180
265,金井恒太,六段,1986-05-25,2007-04-01,20歳10ヶ月7日,7616
266,伊藤真吾,六段,1982-01-04,2007-04-01,25歳2ヶ月28日,9218
267,村田顕弘,六段,1986-07-14,2007-10-01,21歳2ヶ月17日,7749
268,及川拓馬,七段,1987-05-06,2007-10-01,20歳4ヶ月25日,7453
269,稲葉陽,八段,1988-08-08,2008-04-01,19歳7ヶ月24日,7176
270,田中悠一,六段,1985-03-14,2008-04-01,23歳0ヶ月18日,8419
271,佐藤慎一,六段,1982-08-16,2008-10-01,26歳1ヶ月15日,9543
272,西川和宏,六段,1986-04-02,2008-10-01,22歳5ヶ月29日,8218
273,渡辺正和,六段,1986-01-23,2008-10-01,22歳8ヶ月8日,8287
274,澤田真吾,七段,1991-11-21,2009-04-01,17歳4ヶ月11日,6341
275,大石直嗣,七段,1989-09-16,2009-04-01,19歳6ヶ月16日,7137
276,永瀬拓矢,九段,1992-09-05,2009-10-01,17歳0ヶ月26日,6235
277,阿部健治郎,七段,1989-02-25,2009-10-01,20歳7ヶ月6日,7523
278,菅井竜也,八段,1992-04-17,2010-04-01,17歳11ヶ月15日,6558
279,牧野光則,六段,1988-04-16,2010-04-01,21歳11ヶ月16日,8020
280,佐々木勇気,八段,1994-08-05,2010-10-01,16歳1ヶ月26日,5901
281,船江恒平,七段,1987-04-27,2010-10-01,23歳5ヶ月4日,8558
282,門倉啓太,六段,1987-06-03,2011-04-01,23歳9ヶ月29日,8703
283,阿部光瑠,七段,1994-10-25,2011-04-01,16歳5ヶ月7日,6002
284,髙見泰地,七段,1993-07-12,2011-10-01,18歳2ヶ月19日,6655
285,藤森哲也,五段,1987-05-09,2011-10-01,24歳4ヶ月22日,8911
286,斎藤慎太郎,八段,1993-04-21,2012-04-01,18歳11ヶ月11日,6920
287,八代弥,八段,1994-03-03,2012-04-01,18歳0ヶ月29日,6604
288,上村亘,五段,1986-12-10,2012-10-01,25歳9ヶ月21日,9427
289,石田直裕,六段,1988-12-05,2012-10-01,23歳9ヶ月26日,8701
290,渡辺大夢,六段,1988-07-29,2012-10-01,24歳2ヶ月2日,8830
291,千田翔太,八段,1994-04-10,2013-04-01,18歳11ヶ月22日,6931
292,竹内雄悟,五段,1987-12-17,2013-04-01,25歳3ヶ月15日,9237
293,石井健太郎,七段,1992-04-13,2013-10-01,21歳5ヶ月18日,7841
294,三枚堂達也,七段,1993-07-14,2013-10-01,20歳2ヶ月17日,7384
295,星野良生,五段,1988-08-10,2014-04-01,25歳7ヶ月22日,9365
296,宮本広志,六段,1986-01-27,2014-04-01,28歳2ヶ月5日,10291
297,増田康宏,八段,1997-11-04,2014-10-01,16歳10ヶ月27日,6175
298,黒沢怜生,六段,1992-03-07,2014-10-01,22歳6ヶ月24日,8243
299,今泉健司,五段,1973-07-03,2015-04-01,41歳8ヶ月29日,15247
300,青嶋未来,七段,1995-02-27,2015-04-01,20歳1ヶ月5日,7338
301,梶浦宏孝,七段,1995-07-06,2015-04-01,19歳8ヶ月26日,7209
302,髙野智史,六段,1993-10-27,2015-10-01,21歳11ヶ月4日,8009
303,近藤誠也,八段,1996-07-25,2015-10-01,19歳2ヶ月6日,7007
304,都成竜馬,七段,1990-01-17,2016-04-01,26歳2ヶ月15日,9571
305,井出隼平,五段,1991-05-03,2016-04-01,24歳10ヶ月29日,9100
306,佐々木大地,七段,1995-05-30,2016-04-01,20歳10ヶ月2日,7612
307,藤井聡太,竜王・名人,2002-07-19,2016-10-01,14歳2ヶ月12日,5188
308,大橋貴洸,七段,1992-09-22,2016-10-01,24歳0ヶ月9日,8775
309,西田拓也,六段,1991-08-25,2017-04-01,25歳7ヶ月7日,9351
310,杉本和陽,六段,1991-09-01,2017-04-01,25歳7ヶ月0日,9344
311,斎藤明日斗,六段,1998-07-17,2017-10-01,19歳2ヶ月14日,7016
312,古森悠太,五段,1995-08-20,2017-10-01,22歳1ヶ月11日,8078
313,長谷部浩平,五段,1994-04-15,2018-04-01,23歳11ヶ月17日,8752
314,池永天志,六段,1993-04-20,2018-04-01,24歳11ヶ月12日,9112
315,本田奎,六段,1997-07-05,2018-10-01,21歳2ヶ月26日,7758
316,山本博志,五段,1996-08-13,2018-10-01,22歳1ヶ月18日,8084
317,出口若武,六段,1995-04-28,2019-04-01,23歳11ヶ月4日,8739
318,黒田尭之,五段,1996-09-26,2019-04-01,22歳6ヶ月6日,8222
319,渡辺和史,七段,1994-10-06,2019-10-01,24歳11ヶ月25日,9126
320,石川優太,五段,1994-11-11,2019-10-01,24歳10ヶ月20日,9090
321,折田翔吾,五段,1989-10-28,2020-04-01,30歳5ヶ月4日,11113
322,服部慎一郎,七段,1999-08-02,2020-04-01,20歳7ヶ月30日,7548
323,谷合廣紀,五段,1994-01-06,2020-04-01,26歳2ヶ月26日,9582
324,伊藤匠,叡王,2002-10-10,2020-10-01,17歳11ヶ月21日,6566
325,冨田誠也,五段,1996-02-13,2020-10-01,24歳7ヶ月18日,8997
326,古賀悠聖,六段,2001-01-01,2020-10-01,19歳9ヶ月0日,7213
327,井田明宏,五段,1996-12-06,2021-04-01,24歳3ヶ月26日,8882
328,高田明浩,五段,2002-06-20,2021-04-01,18歳9ヶ月12日,6860
329,横山友紀,四段,2000-01-26,2021-10-01,21歳8ヶ月5日,7919
330,狩山幹生,五段,2001-11-12,2021-10-01,19歳10ヶ月19日,7263
331,岡部怜央,五段,1999-04-08,2022-04-01,22歳11ヶ月24日,8394
332,徳田拳士,四段,1997-12-09,2022-04-01,24歳3ヶ月23日,8879
333,藤本渚,六段,2005-07-18,2022-10-01,17歳2ヶ月13日,6284
334,齊藤裕也,四段,1997-05-29,2022-10-01,25歳4ヶ月2日,9256
335,小山怜央,四段,1993-07-02,2023-04-01,29歳8ヶ月30日,10865
336,小山直希,四段,1999-10-07,2023-04-01,23歳5ヶ月25日,8577
337,森本才跳,四段,2001-05-31,2023-04-01,21歳10ヶ月1日,7975
338,柵木幹太,四段,1998-02-18,2023-04-01,25歳1ヶ月14日,9173
339,宮嶋健太,四段,1999-08-13,2023-10-01,24歳1ヶ月18日,8815
340,上野裕寿,五段,2003-05-05,2023-10-01,20歳4ヶ月26日,7454
341,山川泰熙,四段,1998-07-31,2024-04-01,25歳8ヶ月1日,9376
342,高橋佑二郎,四段,1999-07-09,2024-04-01,24歳8ヶ月23日,9033
343,獺ヶ口笑保人,四段,1999-10-22,2024-10-01,24歳11ヶ月9日,9111
344,吉池隆真,四段,2004-11-08,2024-10-01,19歳10ヶ月23日,7267
345,齊藤優希,四段,1996-05-18,2025-04-01,28歳10ヶ月14日,10545
346,炭﨑俊毅,四段,2008-06-02,2025-04-01,16歳9ヶ月30日,6147
