女流棋士番号,女流棋士名,生年月日,女流３級,女流２級,女流１級,女流初段,女流二段,女流三段,女流四段,女流五段,女流六段,女流七段,引退日,没年月日,URL
44,長谷川優貴,1995-09-13,,2011-10-01,,2011-10-29,2012-02-02,2025-01-23,,,,,,,https://www.shogi.or.jp/player/lady/44.html
45,竹俣紅,1998-06-27,,2012-10-01,2015-07-01,2016-04-01,,,,,,,2019-03-31,,
46,北村桂香,1995-11-14,2013-04-01,2013-06-24,2014-04-01,2015-06-26,2023-01-18,,,,,,,,https://www.shogi.or.jp/player/lady/46.html
47,相川春香,1994-04-18,2011-10-01,2013-08-17,2015-02-24,2015-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/47.html
48,飯野愛,1986-11-17,,2013-10-01,2014-05-09,2018-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/48.html
49,山根ことみ,1998-03-09,2013-10-01,2014-05-24,2014-06-26,2015-04-01,2019-10-23,2023-11-24,,,,,,,https://www.shogi.or.jp/player/lady/49.html
50,和田あき,1997-11-14,2014-04-01,2014-08-09,,2014-11-06,2023-06-05,,,,,,,,https://www.shogi.or.jp/player/lady/50.html
51,塚田恵梨花,1998-08-27,,2014-10-01,2017-06-23,2019-04-01,2023-05-08,,,,,,,,https://www.shogi.or.jp/player/lady/51.html
52,伊藤沙恵,1993-10-06,,,,2014-10-01,2015-09-11,2019-04-26,2023-04-18,,,,,,https://www.shogi.or.jp/player/lady/52.html
53,中澤沙耶,1996-05-14,,2015-04-01,2015-06-20,2016-04-01,2022-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/53.html
54,高浜愛子,1984-10-02,2014-04-01,2016-02-05,2021-09-17,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/54.html
55,山口絵美菜,1994-05-04,2014-10-01,2016-08-13,,,,,,,,,2022-3-30,,
56,川又咲紀,1996-04-28,2016-02-22,2016-04-27,2016-07-04,2017-04-01,2025-10-28,,,,,,,,https://www.shogi.or.jp/player/lady/56.html
57,石本さくら,1999-01-27,,2016-09-01,2017-02-20,2017-03-09,2020-12-14,,,,,,,,https://www.shogi.or.jp/player/lady/57.html
58,頼本奈菜,1997-03-12,,2017-02-01,2017-03-15,2019-04-01,2025-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/58.html
59,カロリーナ・フォルタン,1991-06-17,2015-10-01,2017-02-20,2017-04-01,2021-04-01,,,,,,,,2023-03-31,https://www.shogi.or.jp/player/lady/59.html
60,武富礼衣,1999-05-25,2016-05-25,2018-02-07,,2018-03-09,2025-05-07,,,,,,,,https://www.shogi.or.jp/player/lady/60.html
61,小高佐季子,2002-06-04,2017-06-20,2018-02-07,2019-10-14,2021-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/61.html
62,水町みゆ,2001-04-21,,2018-05-01,2019-01-18,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/62.html
63,藤井奈々,1998-03-31,2017-02-20,2018-06-06,2018-12-27,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/63.html
64,加藤圭,1991-08-18,2018-02-01,2018-06-21,2019-10-11,2020-03-16,2021-04-02,,,,,,,,https://www.shogi.or.jp/player/lady/64.html
65,加藤結李愛,2003-02-15,2018-04-01,2018-07-07,2019-06-13,2019-08-25,2024-07-13,,,,,,,,https://www.shogi.or.jp/player/lady/65.html
66,脇田菜々子,1997-03-07,,2018-11-01,2019-02-06,2020-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/66.html
67,加藤桃子,1995-03-09,,,,,,,2019-04-01,2023-07-03,,,,,https://www.shogi.or.jp/player/lady/67.html
68,山口仁子梨,2002-09-17,,2019-10-01,2024-07-02,,,,,,,,,,https://www.shogi.or.jp/player/lady/68.html
69,和田はな,2002-01-14,,2020-09-01,2021-05-28,,,,,,,,,,https://www.shogi.or.jp/player/lady/69.html
70,野原未蘭,2003-08-04,,2020-09-01,2021-01-18,2021-08-03,2024-12-13,,,,,,,,https://www.shogi.or.jp/player/lady/70.html
71,内山あや,2004-05-22,,2020-12-01,2022-04-01,2023-03-09,2026-02-03,,,,,,,,https://www.shogi.or.jp/player/lady/71.html
72,山口稀良莉,2005-01-11,,2020-12-01,2021-09-22,2025-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/72.html
73,西山朋佳,1995-06-27,,,,,,,2021-04-01,2022-06-13,2023-10-17,,,,https://www.shogi.or.jp/player/lady/73.html
74,大島綾華,2003-01-31,,2021-05-01,2021-06-26,2022-04-01,2024-03-04,,,,,,,,https://www.shogi.or.jp/player/lady/74.html
75,佐々木海法,2005-03-31,,2021-12-01,2022-02-07,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/75.html
76,岩佐美帆子,2005-08-15,,2022-02-01,2023-04-01,,,,,,,,,,https://www.shogi.or.jp/player/lady/76.html
77,榊菜吟,2003-11-12,,2022-05-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/77.html
78,鎌田美礼,2008-06-24,,2022-05-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/78.html
79,木村朱里,2008-07-11,,2022-06-01,2023-01-26,2024-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/79.html
80,梅津美琴,2007-09-01,,2022-07-01,2024-04-01,2025-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/80.html
81,松下舞琳,2006-10-25,,2022-08-01,2022-10-19,2023-04-01,,,,,,,,,https://www.shogi.or.jp/player/lady/81.html
82,久保翔子,2006-01-12,,2022-10-01,2024-07-08,,,,,,,,,,https://www.shogi.or.jp/player/lady/82.html
83,今井絢,2001-10-25,,,2023-02-01,2023-08-20,,,,,,,,,https://www.shogi.or.jp/player/lady/83.html
84,宮澤紗希,2002-01-26,,2023-07-01,2024-01-25,2025-03-04,,,,,,,,,https://www.shogi.or.jp/player/lady/84.html
85,森本理子,2003-04-24,,2023-09-01,2025-04-01,,,,,,,,,,https://www.shogi.or.jp/player/lady/85.html
86,砂原奏,2006-12-23,,2023-09-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/86.html
87,崎原知宙,2001-08-29,,2023-11-01,2024-02-29,,,,,,,,,,https://www.shogi.or.jp/player/lady/87.html
88,伊藤真央,2009-06-03,,2023-11-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/88.html
89,竹内優月,2011-01-05,,2024-03-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/89.html
90,岩崎夏子,2011-07-20,,2024-04-01,2025-09-29,2026-03-02,,,,,,,,,https://www.shogi.or.jp/player/lady/90.html
91,中七海,1998-08-07,,,,,,,2024-11-01,,,,,,https://www.shogi.or.jp/player/lady/91.html
92,八木日和,2008-09-10,,2025-01-01,,,,,,,,,,,https://www.shogi.or.jp/player/lady/92.html
