対局日,棋戦,備考,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2025-04-24,倉敷藤花戦,,●,貞升南,内山あや,○,,
2025-04-24,倉敷藤花戦,,○,上田初美,島井咲緒里,●,,
2025-04-24,倉敷藤花戦,,○,八木日和,石本さくら,●,,
2025-04-25,倉敷藤花戦,,○,大城千花アマ,室谷由紀,●,,
2025-04-28,清麗戦,本戦,■,西山朋佳,渡部愛,□,,
2025-04-28,清麗戦,本戦,○,加藤桃子,上田初美,●,,
2025-04-30,倉敷藤花戦,,●,中倉宏美,清水市代,○,,
2025-05-01,倉敷藤花戦,,●,藤田綾,塚田恵梨花,○,,
2025-05-01,倉敷藤花戦,,○,香川愛生,伊藤真央,●,,
2025-05-02,女流名人戦,女流名人リーグ,●,西山朋佳,大島綾華,○,,
2025-05-02,倉敷藤花戦,,○,中澤沙耶,礒谷真帆,●,,
2025-05-07,女流順位戦,A級,○,上田初美,香川愛生,●,,
2025-05-07,女流順位戦,A級,●,和田あき,加藤圭,○,,
2025-05-07,女流順位戦,A級,●,山根ことみ,鈴木環那,○,,
2025-05-07,女流順位戦,A級,●,伊藤沙恵,福間香奈,○,,
2025-05-07,女流順位戦,A級,●,石本さくら,加藤桃子,○,,
2025-05-07,女流順位戦,B級,○,岩根忍,千葉涼子,●,,
2025-05-07,女流順位戦,B級,○,渡部愛,中井広恵,●,,
2025-05-07,女流順位戦,B級,●,加藤結李愛,頼本奈菜,○,,
2025-05-07,女流順位戦,B級,○,野原未蘭,伊奈川愛菓,●,,
2025-05-07,女流順位戦,B級,●,塚田恵梨花,武富礼衣,○,,
2025-05-07,倉敷藤花戦,,■,西山朋佳,竹内優月,□,,
2025-05-10,女流王座戦,一次予選,●,大城千花アマ,礒谷真帆,○,,
2025-05-10,女流王座戦,一次予選,●,頼本奈菜,梅津美琴,○,,
2025-05-10,女流王座戦,一次予選,●,梅津美琴,礒谷真帆,○,,
2025-05-10,女流王座戦,一次予選,○,本田小百合,伊藤真央,●,,
2025-05-10,女流王座戦,一次予選,●,上川香織,宮宗紫野,○,,
2025-05-10,女流王座戦,一次予選,○,本田小百合,宮宗紫野,●,,
2025-05-10,女流王座戦,一次予選,●,レベッカアマ,和田はな,○,,
2025-05-10,女流王座戦,一次予選,●,脇田菜々子,宮澤紗希,○,,
2025-05-10,女流王座戦,一次予選,●,和田はな,宮澤紗希,○,,
2025-05-10,女流王座戦,一次予選,○,加藤圭,森本理子,●,,
2025-05-10,女流王座戦,一次予選,○,山田久美,石高澄恵,●,,
2025-05-10,女流王座戦,一次予選,○,加藤圭,山田久美,●,,
2025-05-10,女流王座戦,一次予選,○,岩崎夏子,清水市代,●,,
2025-05-10,女流王座戦,一次予選,●,相川春香,飯野愛,○,,
2025-05-10,女流王座戦,一次予選,○,飯野愛,岩崎夏子,●,,
2025-05-10,女流王座戦,一次予選,■,千葉涼子,砂原奏,□,,
2025-05-10,女流王座戦,一次予選,○,小高佐季子,中倉宏美,●,,
2025-05-10,女流王座戦,一次予選,●,小高佐季子,砂原奏,○,,
2025-05-10,女流王座戦,一次予選,●,伊奈川愛菓,加藤結李愛,○,,
2025-05-10,女流王座戦,一次予選,●,中村真梨花,山口恵梨子,○,,
2025-05-10,女流王座戦,一次予選,○,山口恵梨子,加藤結李愛,●,,
2025-05-10,女流王座戦,一次予選,○,鎌田美礼,貞升南,●,,
2025-05-10,女流王座戦,一次予選,●,島井咲緒里,藤田綾,○,,
2025-05-10,女流王座戦,一次予選,○,鎌田美礼,藤田綾,●,,
2025-05-10,女流王座戦,一次予選,●,竹部さゆり,渡辺弥生,○,,
2025-05-10,女流王座戦,一次予選,○,堀彩乃,小野花依アマ,●,,
2025-05-10,女流王座戦,一次予選,○,渡辺弥生,堀彩乃,●,,
2025-05-10,女流王座戦,一次予選,○,野原未蘭,田中沙紀,●,,
2025-05-10,女流王座戦,一次予選,○,塚田恵梨花,野原未蘭,●,,
2025-05-10,女流王座戦,一次予選,●,赤松育実アマ,竹内優月,○,,
2025-05-10,女流王座戦,一次予選,●,竹内優月,上田初美,○,,
2025-05-10,女流王座戦,一次予選,○,鈴木環那,矢内理絵子,●,,
2025-05-10,女流王座戦,一次予選,●,岩根忍,鈴木環那,○,,
2025-05-10,女流王座戦,一次予選,○,高浜愛子,武富礼衣,●,,
2025-05-10,女流王座戦,一次予選,●,高浜愛子,渡部愛,○,,
2025-05-10,女流王座戦,一次予選,○,長沢千和子,内山あや,●,,
2025-05-10,女流王座戦,一次予選,○,伊藤沙恵,長沢千和子,●,,
2025-05-10,女流王座戦,一次予選,●,山口仁子梨,八木日和,○,,
2025-05-10,女流王座戦,一次予選,●,川又咲紀,佐々木海法,○,,
2025-05-10,女流王座戦,一次予選,○,八木日和,佐々木海法,●,,
2025-05-10,女流王座戦,一次予選,●,久保翔子,中澤沙耶,○,,
2025-05-10,女流王座戦,一次予選,●,木村朱里,大島綾華,○,,
2025-05-10,女流王座戦,一次予選,●,大島綾華,中澤沙耶,○,,
2025-05-10,女流王座戦,一次予選,●,山口稀良莉,中七海,○,,
2025-05-10,女流王座戦,一次予選,○,大田暖乃アマ,今井絢,●,,
2025-05-10,女流王座戦,一次予選,○,中七海,大田暖乃アマ,●,,
2025-05-10,女流王座戦,一次予選,○,藤井奈々,室田伊緒,●,,
2025-05-10,女流王座戦,一次予選,●,小林彩乃アマ,北村桂香,○,,
2025-05-10,女流王座戦,一次予選,○,北村桂香,藤井奈々,●,,
2025-05-10,女流王座戦,一次予選,●,長谷川優貴,村田智穂,○,,
2025-05-10,女流王座戦,一次予選,○,岩佐美帆子,榊菜吟,●,,
2025-05-10,女流王座戦,一次予選,○,村田智穂,岩佐美帆子,●,,
2025-05-10,女流王座戦,一次予選,●,壽希乃香アマ,松下舞琳,○,,
2025-05-10,女流王座戦,一次予選,○,崎原知宙,石本さくら,●,,
2025-05-10,女流王座戦,一次予選,○,松下舞琳,崎原知宙,●,,
2025-05-13,女流王位戦,第2局,○,福間香奈,伊藤沙恵,●,,
2025-05-14,女流順位戦,D級,□,竹部さゆり,森本理子,■,,
2025-05-14,女流順位戦,D級,●,斎田晴子,島井咲緒里,○,,
2025-05-14,女流順位戦,D級,●,岩佐美帆子,相川春香,○,千日手,
2025-05-14,女流順位戦,D級,○,上川香織,榊菜吟,●,,
2025-05-14,女流順位戦,D級,●,脇田菜々子,木村朱里,○,,
2025-05-14,女流順位戦,D級,○,山口仁子梨,梅津美琴,●,,
2025-05-14,女流順位戦,D級,○,宮澤紗希,砂原奏,●,,
2025-05-14,女流順位戦,D級,○,鎌田美礼,石高澄恵,●,,
2025-05-14,女流順位戦,D級,●,中倉宏美,山田久美,○,,
2025-05-14,女流順位戦,D級,○,今井絢,伊藤真央,●,,
2025-05-14,女流順位戦,D級,○,磯谷祐維,礒谷真帆,●,,
2025-05-14,女流順位戦,D級,●,竹内優月,渡辺弥生,○,,
2025-05-14,女流順位戦,D級,○,岩崎夏子,藤井奈々,●,,
2025-05-14,女流順位戦,D級,●,和田はな,松下舞琳,○,,
2025-05-14,女流順位戦,D級,●,山口稀良莉,川又咲紀,○,,
2025-05-14,女流順位戦,D級,○,崎原知宙,宮宗紫野,●,,
2025-05-14,女流順位戦,D級,●,村田智穂,矢内理絵子,○,,
2025-05-16,女流順位戦,C級,○,大島綾華,本田小百合,●,,
2025-05-16,女流順位戦,C級,○,中村真梨花,貞升南,●,,
2025-05-16,女流順位戦,C級,○,清水市代,中澤沙耶,●,,
2025-05-16,女流順位戦,C級,●,高浜愛子,小高佐季子,○,,
2025-05-16,女流順位戦,C級,○,堀彩乃,山口恵梨子,●,,
2025-05-16,女流順位戦,C級,●,長沢千和子,田中沙紀,○,,
2025-05-16,女流順位戦,C級,○,内山あや,室田伊緒,●,,
2025-05-16,女流順位戦,C級,●,北村桂香,室谷由紀,○,,
2025-05-16,女流順位戦,C級,●,藤田綾,長谷川優貴,○,,
2025-05-16,女流順位戦,C級,○,佐々木海法,久保翔子,●,,
2025-05-16,女流名人戦,女流名人リーグ,●,野原未蘭,渡部愛,○,,
2025-05-18,マイナビ,第3局,●,福間香奈,西山朋佳,○,,
2025-05-19,女流名人戦,女流名人リーグ,○,伊藤沙恵,今井絢,●,,
2025-05-20,倉敷藤花戦,,●,脇田菜々子,頼本奈菜,○,,
2025-05-21,清麗戦,挑決,●,加藤桃子,渡部愛,○,,
2025-05-21,倉敷藤花戦,,○,香川愛生,加藤圭,●,,
2025-05-21,倉敷藤花戦,,○,磯谷祐維,鈴木環那,●,,
2025-05-21,倉敷藤花戦,,○,上田初美,小高佐季子,●,,
2025-05-22,倉敷藤花戦,,●,内山あや,本田小百合,○,,
2025-05-22,倉敷藤花戦,,○,伊藤沙恵,山口稀良莉,●,,
2025-05-22,倉敷藤花戦,,○,長谷川優貴,岩佐美帆子,●,,
2025-05-23,女流名人戦,女流名人リーグ,●,宮澤紗希,西山朋佳,○,,
2025-05-23,倉敷藤花戦,,●,山根ことみ,大城千花アマ,○,,
2025-05-23,倉敷藤花戦,,●,村田智穂,松下舞琳,○,,
2025-05-25,女流王位戦,第3局,●,伊藤沙恵,福間香奈,○,,
2025-05-26,倉敷藤花戦,,●,堀彩乃,田中沙紀,○,,
2025-05-27,女流名人戦,女流名人リーグ,○,大島綾華,内山あや,●,,
2025-05-28,マイナビ,第4局,●,西山朋佳,福間香奈,○,,
2025-05-28,倉敷藤花戦,,○,中澤沙耶,中村真梨花,●,,
2025-05-29,倉敷藤花戦,,○,和田あき,清水市代,●,,
2025-05-29,倉敷藤花戦,,○,中七海,佐々木海法,●,,
2025-05-30,倉敷藤花戦,,○,竹内優月,梅津美琴,●,,
2025-05-30,倉敷藤花戦,,●,八木日和,加藤桃子,○,,
2025-06-02,女流順位戦,D級,●,山田久美,伊藤真央,○,,
2025-06-02,女流順位戦,D級,○,和田はな,今井絢,●,,
2025-06-02,女流順位戦,D級,○,磯谷祐維,岩崎夏子,●,,
2025-06-02,女流順位戦,D級,○,松下舞琳,鎌田美礼,●,,
2025-06-02,女流順位戦,D級,●,石高澄恵,森本理子,○,,
2025-06-02,女流順位戦,D級,●,宮宗紫野,宮澤紗希,○,,
2025-06-02,女流順位戦,D級,●,梅津美琴,山口稀良莉,○,,
2025-06-02,女流順位戦,D級,●,山口仁子梨,矢内理絵子,○,,
2025-06-02,女流順位戦,D級,○,相川春香,竹部さゆり,●,,
2025-06-02,女流順位戦,D級,●,竹内優月,島井咲緒里,○,,
2025-06-02,女流順位戦,D級,●,崎原知宙,礒谷真帆,○,,
2025-06-02,女流順位戦,D級,○,渡辺弥生,藤井奈々,●,,
2025-06-02,女流順位戦,D級,●,砂原奏,川又咲紀,○,,
2025-06-02,女流順位戦,D級,●,中倉宏美,木村朱里,○,,
2025-06-02,女流順位戦,D級,●,岩佐美帆子,斎田晴子,○,,
2025-06-02,女流順位戦,D級,○,榊菜吟,脇田菜々子,●,,
2025-06-02,女流順位戦,D級,○,村田智穂,上川香織,●,,
2025-06-02,女流名人戦,女流名人リーグ,●,野原未蘭,伊藤沙恵,○,,
2025-06-03,女流名人戦,女流名人リーグ,●,石本さくら,中井広恵,○,,
2025-06-04,女流順位戦,C級,○,大島綾華,内山あや,●,,
2025-06-04,女流順位戦,C級,○,堀彩乃,本田小百合,●,,
2025-06-04,女流順位戦,C級,●,田中沙紀,清水市代,○,,
2025-06-04,女流順位戦,C級,●,貞升南,小高佐季子,○,,
2025-06-04,女流順位戦,C級,●,高浜愛子,室谷由紀,○,,
2025-06-04,女流順位戦,C級,○,山口恵梨子,藤田綾,●,,
2025-06-04,女流順位戦,C級,○,長谷川優貴,室田伊緒,●,,
2025-06-04,女流順位戦,C級,■,長沢千和子,北村桂香,□,,
2025-06-04,女流順位戦,C級,○,佐々木海法,中村真梨花,●,,
2025-06-04,女流順位戦,C級,●,久保翔子,中澤沙耶,○,,
2025-06-04,倉敷藤花戦,,●,加藤結李愛,伊藤沙恵,○,,
2025-06-05,マイナビ,第5局,●,西山朋佳,福間香奈,○,,
2025-06-05,倉敷藤花戦,,○,渡部愛,塚田恵梨花,●,,
2025-06-09,女流順位戦,A級,○,伊藤沙恵,和田あき,●,,
2025-06-09,女流順位戦,A級,○,鈴木環那,上田初美,●,,
2025-06-09,女流順位戦,A級,●,香川愛生,福間香奈,○,,
2025-06-09,女流順位戦,A級,○,加藤桃子,加藤圭,●,,
2025-06-09,女流順位戦,A級,○,石本さくら,山根ことみ,●,,
2025-06-09,女流順位戦,B級,●,千葉涼子,渡部愛,○,,
2025-06-09,女流順位戦,B級,○,塚田恵梨花,中井広恵,●,,
2025-06-09,女流順位戦,B級,●,伊奈川愛菓,加藤結李愛,○,,
2025-06-09,女流順位戦,B級,○,野原未蘭,岩根忍,●,,
2025-06-09,女流順位戦,B級,○,頼本奈菜,武富礼衣,●,,
2025-06-10,女流王座戦,二次予選,○,宮澤紗希,渡辺弥生,●,,
2025-06-10,女流王座戦,二次予選,○,村田智穂,飯野愛,●,,
2025-06-10,女流名人戦,女流名人リーグ,●,今井絢,内山あや,○,,
2025-06-11,女流王座戦,二次予選,●,北村桂香,磯谷祐維,○,,
2025-06-12,女流王位戦,第4局,●,福間香奈,伊藤沙恵,○,,
2025-06-12,女流王座戦,二次予選,●,本田小百合,松下舞琳,○,,
2025-06-12,女流王座戦,二次予選,○,中七海,礒谷真帆,●,,
2025-06-13,女流王座戦,二次予選,●,砂原奏,山根ことみ,○,,
2025-06-13,女流王座戦,二次予選,○,塚田恵梨花,鈴木環那,●,,
2025-06-13,女流王座戦,二次予選,●,山口恵梨子,上田初美,○,,
2025-06-16,女流王座戦,二次予選,○,和田あき,鎌田美礼,●,,
2025-06-17,女流名人戦,女流名人リーグ,●,石本さくら,西山朋佳,○,,
2025-06-18,倉敷藤花戦,,●,頼本奈菜,加藤桃子,○,,
2025-06-19,女流王座戦,二次予選,●,八木日和,渡部愛,○,,
2025-06-20,女流王座戦,二次予選,○,伊藤沙恵,中井広恵,●,,
2025-06-21,マイナビ,予備予選,●,山田久美,千葉涼子,○,,
2025-06-21,マイナビ,予備予選,●,石高澄恵,塚田恵梨花,○,,
2025-06-21,マイナビ,予備予選,○,宮宗紫野,中倉宏美,●,,
2025-06-21,マイナビ,予備予選,○,竹内優月,礒谷真帆,●,,
2025-06-21,マイナビ,予備予選,●,中澤沙耶,武富礼衣,○,,
2025-06-21,マイナビ,予備予選,●,鈴木環那,内山あや,○,,
2025-06-21,マイナビ,予備予選,●,小高佐季子,室谷由紀,○,,
2025-06-21,マイナビ,予備予選,●,和田はな,渡部愛,○,,
2025-06-21,マイナビ,予備予選,○,中村真梨花,矢内理絵子,●,,
2025-06-21,マイナビ,予備予選,○,磯谷祐維,山口恵梨子,●,,
2025-06-21,マイナビ,予備予選,○,貞升南,上川香織,●,,
2025-06-21,マイナビ,予備予選,○,渡辺弥生,本田小百合,●,,
2025-06-21,マイナビ,予備予選,●,藤田綾,頼本奈菜,○,,
2025-06-21,マイナビ,予備予選,●,飯野愛,島井咲緒里,○,,
2025-06-21,マイナビ,予備予選,○,長沢千和子,島井咲緒里,●,,
2025-06-21,マイナビ,予備予選,●,伊藤真央,鎌田美礼,○,,
2025-06-21,マイナビ,予備予選,○,鎌田美礼,岩根忍,●,,
2025-06-21,マイナビ,予備予選,●,岩崎夏子,砂原奏,○,,
2025-06-21,マイナビ,予備予選,●,砂原奏,脇田菜々子,○,,
2025-06-21,マイナビ,予備予選,●,久保翔子,山口仁子梨,○,,
2025-06-21,マイナビ,予備予選,○,岩佐美帆子,佐々木海法,●,,
2025-06-21,マイナビ,予備予選,○,榊菜吟,山口稀良莉,●,,
2025-06-21,マイナビ,予備予選,○,藤井奈々,榊菜吟,●,,
2025-06-21,マイナビ,予備予選,●,川又咲紀,八木日和,○,,
2025-06-21,マイナビ,予備予選,●,木村朱里,八木日和,○,,
2025-06-21,マイナビ,予備予選,○,中七海,崎原知宙,●,,
2025-06-21,マイナビ,予備予選,○,中七海,村田智穂,●,,
2025-06-23,倉敷藤花戦,,○,上田初美,松下舞琳,●,,
2025-06-24,女流王座戦,二次予選,○,中澤沙耶,加藤圭,●,,
2025-06-24,倉敷藤花戦,,○,和田あき,竹内優月,●,,
2025-06-24,倉敷藤花戦,,○,大城千花アマ,渡部愛,●,,
2025-06-24,倉敷藤花戦,,○,田中沙紀,長谷川優貴,●,,
2025-06-25,女流王位戦,第5局,○,福間香奈,伊藤沙恵,●,,
2025-06-25,倉敷藤花戦,,●,本田小百合,香川愛生,○,,
2025-06-27,女流名人戦,女流名人リーグ,○,渡部愛,大島綾華,●,,
2025-06-27,女流名人戦,女流名人リーグ,●,中井広恵,宮澤紗希,○,,
2025-07-01,女流順位戦,A級,○,山根ことみ,伊藤沙恵,●,,
2025-07-01,女流順位戦,A級,○,加藤圭,鈴木環那,●,,
2025-07-01,女流順位戦,A級,○,上田初美,石本さくら,●,,
2025-07-01,女流順位戦,A級,○,和田あき,香川愛生,●,,
2025-07-01,女流順位戦,A級,○,福間香奈,加藤桃子,●,,
2025-07-01,女流順位戦,B級,○,渡部愛,塚田恵梨花,●,,
2025-07-01,女流順位戦,B級,●,中井広恵,伊奈川愛菓,○,,
2025-07-01,女流順位戦,B級,●,加藤結李愛,野原未蘭,○,,
2025-07-01,女流順位戦,B級,●,武富礼衣,千葉涼子,○,,
2025-07-01,女流順位戦,B級,○,岩根忍,頼本奈菜,●,,
2025-07-01,倉敷藤花戦,,○,中澤沙耶,中七海,●,,
2025-07-04,女流順位戦,C級,○,中村真梨花,大島綾華,●,,
2025-07-04,女流順位戦,C級,○,内山あや,堀彩乃,●,,
2025-07-04,女流順位戦,C級・持将棋,○,田中沙紀,本田小百合,●,,
2025-07-04,女流順位戦,C級,○,清水市代,山口恵梨子,●,,
2025-07-04,女流順位戦,C級,○,室谷由紀,貞升南,●,,
2025-07-04,女流順位戦,C級,●,中澤沙耶,長沢千和子,○,,
2025-07-04,女流順位戦,C級,○,室田伊緒,久保翔子,●,,
2025-07-04,女流順位戦,C級,○,北村桂香,高浜愛子,●,,
2025-07-04,女流順位戦,C級,○,小高佐季子,長谷川優貴,●,,
2025-07-04,女流順位戦,C級,●,藤田綾,佐々木海法,○,,
2025-07-04,倉敷藤花戦,,○,伊藤沙恵,磯谷祐維,●,,
2025-07-07,女流順位戦,D級,○,矢内理絵子,相川春香,●,,
2025-07-07,女流順位戦,D級,○,岩崎夏子,竹内優月,●,,
2025-07-07,女流順位戦,D級,○,鎌田美礼,榊菜吟,●,,
2025-07-07,女流順位戦,D級,○,伊藤真央,宮宗紫野,●,,
2025-07-07,女流順位戦,D級,○,脇田菜々子,石高澄恵,●,,
2025-07-07,女流順位戦,D級,●,上川香織,和田はな,○,,
2025-07-07,女流順位戦,D級,○,川又咲紀,中倉宏美,●,,
2025-07-07,女流順位戦,D級,●,斎田晴子,梅津美琴,○,,
2025-07-07,女流順位戦,D級,●,今井絢,山田久美,○,,
2025-07-07,女流順位戦,D級,○,竹部さゆり,砂原奏,●,,
2025-07-07,女流順位戦,D級,●,礒谷真帆,村田智穂,○,,
2025-07-07,女流順位戦,D級,○,宮澤紗希,渡辺弥生,●,,
2025-07-07,女流順位戦,D級,●,藤井奈々,磯谷祐維,○,,
2025-07-07,女流順位戦,D級,●,島井咲緒里,松下舞琳,○,,
2025-07-07,女流順位戦,D級,○,木村朱里,山口仁子梨,●,,
2025-07-07,女流順位戦,D級,○,山口稀良莉,崎原知宙,●,,
2025-07-07,女流順位戦,D級,○,森本理子,岩佐美帆子,●,,
2025-07-07,女流名人戦,女流名人リーグ,○,西山朋佳,渡部愛,●,,
2025-07-10,清麗戦,第1局,●,渡部愛,福間香奈,○,,
2025-07-12,マイナビ,予選,○,伊藤沙恵,大城千花アマ,●,,
2025-07-12,マイナビ,予選,○,渡辺弥生,長谷川優貴,●,,
2025-07-12,マイナビ,予選,●,渡辺弥生,伊藤沙恵,○,,
2025-07-12,マイナビ,予選,●,八木日和,香川愛生,○,,
2025-07-12,マイナビ,予選,●,和田あき,岩佐美帆子,○,,
2025-07-12,マイナビ,予選,○,香川愛生,岩佐美帆子,●,,
2025-07-12,マイナビ,予選,●,室田伊緒,宮宗紫野,○,,
2025-07-12,マイナビ,予選,○,磯谷祐維,相川春香,●,,
2025-07-12,マイナビ,予選,●,宮宗紫野,磯谷祐維,○,,
2025-07-12,マイナビ,予選,○,渡部愛,松下舞琳,●,,
2025-07-12,マイナビ,予選,○,貞升南,森本理子,●,,
2025-07-12,マイナビ,予選,●,渡部愛,貞升南,○,,
2025-07-12,マイナビ,予選,○,大島綾華,竹内優月,●,,
2025-07-12,マイナビ,予選,○,田中沙紀,川西彩遥アマ,●,,
2025-07-12,マイナビ,予選,○,大島綾華,田中沙紀,●,,
2025-07-12,マイナビ,予選,○,宮澤紗希,千葉涼子,●,,
2025-07-12,マイナビ,予選,○,塚田恵梨花,高浜愛子,●,,
2025-07-12,マイナビ,予選,○,宮澤紗希,塚田恵梨花,●,,
2025-07-12,マイナビ,予選,●,梅津美琴,中七海,○,,
2025-07-12,マイナビ,予選,●,山根ことみ,内山あや,○,,
2025-07-12,マイナビ,予選,○,内山あや,中七海,●,,
2025-07-12,マイナビ,予選,●,長沢千和子,加藤圭,○,,
2025-07-12,マイナビ,予選,○,野原未蘭,鎌田美礼,●,,
2025-07-12,マイナビ,予選,○,野原未蘭,加藤圭,●,千日手,
2025-07-12,マイナビ,予選,●,芦江七菜子アマ,北村桂香,○,,
2025-07-12,マイナビ,予選,○,今井絢,室谷由紀,●,,
2025-07-12,マイナビ,予選,○,今井絢,北村桂香,●,,
2025-07-12,マイナビ,予選,●,藤井奈々,石本さくら,○,,
2025-07-12,マイナビ,予選,●,伊奈川愛菓,脇田菜々子,○,,
2025-07-12,マイナビ,予選,○,脇田菜々子,石本さくら,●,,
2025-07-12,マイナビ,予選,●,堀彩乃,山口仁子梨,○,,
2025-07-12,マイナビ,予選,○,武富礼衣,清水市代,●,,
2025-07-12,マイナビ,予選,●,山口仁子梨,武富礼衣,○,,
2025-07-12,マイナビ,予選,○,頼本奈菜,中井広恵,●,,
2025-07-12,マイナビ,予選,○,中村真梨花,竹部さゆり,●,,
2025-07-12,マイナビ,予選,●,頼本奈菜,中村真梨花,○,,
2025-07-15,女流王座戦,本戦,○,渡部愛,上田初美,●,,
2025-07-16,女流王座戦,本戦,●,香川愛生,塚田恵梨花,○,,
2025-07-17,女流王座戦,本戦,●,宮澤紗希,山根ことみ,○,,
